Truth,Decoded
Buonasera io sono Mario,lo lo
E in offerta costa dieci euro,lo io
Buongiorno io sono Mario,e io
Certo ecco a lei vuole un sacchetto,e io
Purtroppo non lo so pero potresti chiedere all autista,bene lo
Dovrebbe arrivare tra qualche minuto,lo lo io
"Certo volentieri, io lo prendero macchiato",euro lo lo lo lo
Salve quanto costa quell articolo,e lo lo
Purtroppo non lo so pero potresti chiedere all autista,euro lo lo lo io
Piacere Luigi come stai,euro lo lo lo
Le auguro una buona giornata,euro lo lo lo
Quanto costa il biglietto,euro lo lo
Dovrebbe arrivare tra qualche minuto,euro lo lo lo lo lo
Buonasera io sono Mario,lo lo lo
Perfetto vorrei comprarne due.,euro lo lo lo e lo
Tutto bene tu,lo lo io
