Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa quell articolo
Piacere Luigi come stai,piacere luigi come stai
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",pero lo pide lei
Piacere Luigi come stai,piacere io si come stai
Quanto costa il biglietto,prego lo costa
Le auguro una buona giornata,preaquo moare a gurnta
A che ora arriva il pullman,a a e valnom un
Si grazie e arrivederci,pigrazi
Va bene grazie lo stesso,a reaza bene io un
Prego,prego
Prendiamo un caffe al bar,prendiamo rncafe lo a
Tutto bene tu,pretie giedeo
Salve quanto costa quell articolo,a e ganvco io il lo
Perfetto vorrei comprarne due.,a a votota ladre lo
Tutto bene grazie,prego un gizeti
