Truth,Decoded
Salve quanto costa quell articolo,saeavue quanto costa il articolo
Piacere Luigi come stai,piacere luigi come stai
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",e gvoiede aciata
Piacere Luigi come stai,piacere lei come stai
Quanto costa il biglietto,pureni lo gitsta
Le auguro una buona giornata,pero gvoi come a giornata
A che ora arriva il pullman,a che ora va lo a
Si grazie e arrivederci,a grazie
Va bene grazie lo stesso,a reaza stai
Prego,prego
Prendiamo un caffe al bar,prendiamo lo uncafe bar
Tutto bene tu,prego bene lei
Salve quanto costa quell articolo,a graganvi euro
Perfetto vorrei comprarne due.,a a voatorta cleidre lo
Tutto bene grazie,tutto un grazie
