Truth,Decoded
Buongiorno io sono Mario,buongiorno io sono mario
Prego,prego
Le auguro una buona giornata,le auguro una buona giornata
Buonasera io sono Mario,buonasera a io lo mario
Quanto costa il biglietto,tutto costa il biglietto
E in offerta costa dieci euro,e in ora lo io lei euro
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Si grazie e arrivederci,a le va veilto
Tutto bene grazie,tutto bene grazie
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacuto
Prendiamo un caffe al bar,prendiamo un a e al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero postoti chiedere al autista
Salve quanto costa quell articolo,certo lo una io
Tutto bene tu,tutto bene tu
Buongiorno io sono Mario,buongiorno io sono mario
