Truth,Decoded
Buonasera io sono Mario,sono a io lo mario
E in offerta costa dieci euro,prego
Buongiorno io sono Mario,pero lo
Certo ecco a lei vuole un sacchetto,pero lartraicli
Purtroppo non lo so pero potresti chiedere all autista,e lo ipidrl autista
Dovrebbe arrivare tra qualche minuto,prego ravre dumuto
"Certo volentieri, io lo prendero macchiato",certo eolerieri io lo prendero macchiato
Salve quanto costa quell articolo,secte buona a il articolo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Piacere Luigi come stai,piacere luigi come stai
Le auguro una buona giornata,le auguro una buona ora
Quanto costa il biglietto,quanto costa il biglietto
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare so quachominto
Buonasera io sono Mario,buonasera lo io sono mario
Perfetto vorrei comprarne due.,perfeterorei comprarne un
Tutto bene tu,tutto bene tu
