Truth,Decoded
Salve quanto costa quell articolo,buona io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Buonasera io sono Mario,buongora io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,tutto tu
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero costa chiedere a lo autista
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacueto
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",preavoedero a autista
A che ora arriva il pullman,e bene io va lo memn
Buongiorno io sono Mario,pbuogto
Certo ecco a lei vuole un sacchetto,piacere auguro si
Purtroppo non lo so pero potresti chiedere all autista,prego vorrei che autista
Perfetto vorrei comprarne due.,praoaoedreo certo
Prego,prego
