Truth,Decoded
Buongiorno io sono Mario,sono lo io
Tutto bene grazie,lo bene grazie
Buonasera io sono Mario,rtonerio sono io
Tutto bene tu,lo un bene un
"Certo volentieri, io lo prendero macchiato",ereorio e mario
A che ora arriva il pullman,ererl lo a
Va bene grazie lo stesso,e io e io
Si grazie e arrivederci,a e a lei
Quanto costa il biglietto,rtoneigrie
Prego,prego
Le auguro una buona giornata,lo un buona a
Perfetto vorrei comprarne due.,prtri lo e
Certo ecco a lei vuole un sacchetto,lo a lo lo certo
Purtroppo non lo so pero potresti chiedere all autista,prtnoeorererera le io
Prendiamo un caffe al bar,e e al a e
Dovrebbe arrivare tra qualche minuto,bterere un al lo lo
