Truth,Decoded
Buonasera io sono Mario,lo io io
E in offerta costa dieci euro,lo io io
Buongiorno io sono Mario,lo io
Certo ecco a lei vuole un sacchetto,lo io
Purtroppo non lo so pero potresti chiedere all autista,bene io
Dovrebbe arrivare tra qualche minuto,lo io io
"Certo volentieri, io lo prendero macchiato",euro lo lo lo
Salve quanto costa quell articolo,e lo
Purtroppo non lo so pero potresti chiedere all autista,euro a a io
Piacere Luigi come stai,lo a lo
Le auguro una buona giornata,euro lo lo lo
Quanto costa il biglietto,euro lo a lo
Dovrebbe arrivare tra qualche minuto,lo lo lo lo io
Buonasera io sono Mario,e lo
Perfetto vorrei comprarne due.,euro lo lo lo
Tutto bene tu,lo lo
