Truth,Decoded
Buongiorno io sono Mario,buongiorno io sono mario
Prego,prego
Le auguro una buona giornata,le auguro una buona giornata
Buonasera io sono Mario,buonasera lo lo lo mario
Quanto costa il biglietto,tutto lo il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",certo lei io lo prendero macchiato
Perfetto vorrei comprarne due.,perfetorei comprarne due
Si grazie e arrivederci,e e va vlicreo
Tutto bene grazie,tutto bene grazie
Certo ecco a lei vuole un sacchetto,e lo costa a e vuole un auguro
Prendiamo un caffe al bar,prendiamo un caffe al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero poroti chiedere al autista
Salve quanto costa quell articolo,certo lo lo lo
Tutto bene tu,tutto bene tu
Buongiorno io sono Mario,buongiorno io sono mario
