Truth,Decoded
Salve quanto costa quell articolo,e tu quanto costa il atcolto
Piacere Luigi come stai,piacere come stai
E in offerta costa dieci euro,e in offerta costa due euro
"Certo volentieri, io lo prendero macchiato",prevoipidlua
Piacere Luigi come stai,piacere io come stai
Quanto costa il biglietto,pragieleio
Le auguro una buona giornata,prego pmarea bar
A che ora arriva il pullman,a a si salve lo
Si grazie e arrivederci,pero si
Va bene grazie lo stesso,a e e giegiei
Prego,prego
Prendiamo un caffe al bar,prendiamo lo all bar
Tutto bene tu,pero bene lo
Salve quanto costa quell articolo,a regareuo
Perfetto vorrei comprarne due.,tra vrororadladaela
Tutto bene grazie,pero un io
