Truth,Decoded
Salve quanto costa quell articolo,ertuoao sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Buonasera io sono Mario,buonasera io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,bene razeo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero porosth chiedere al autista
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacueto
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",prego predie al costa
A che ora arriva il pullman,e che ora al msan
Buongiorno io sono Mario,tu tu
Certo ecco a lei vuole un sacchetto,pero lo arorai le
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo ora si crire lo autista
Perfetto vorrei comprarne due.,e a voarora prare lo
Prego,prego
