Truth,Decoded
Certo ecco a lei vuole un sacchetto,certo ecoalri lo lo un certo
Piacere Luigi come stai,piacere io come stai
Buonasera io sono Mario,buonasera io sono mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
Dovrebbe arrivare tra qualche minuto,dovrebbe arriva tra qualche io
Le auguro una buona giornata,le auguro una buona giornata
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,lectue gurnon un io
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene tu,tutto bene tu
Quanto costa il biglietto,quanto costa il biglietto
"Certo volentieri, io lo prendero macchiato",certo onriei io io prendero macchiato
E in offerta costa dieci euro,e in offerta costa dieci euro
A che ora arriva il pullman,a che ora arriva il pullman
Si grazie e arrivederci,io ovraie e arvi vedeuro
