Truth,Decoded
Buonasera io sono Mario,prinoe tra io sono mario
E in offerta costa dieci euro,e lei
Buongiorno io sono Mario,buona io
Certo ecco a lei vuole un sacchetto,pero lo stai
Purtroppo non lo so pero potresti chiedere all autista,e a lo a lei lei lo autista
Dovrebbe arrivare tra qualche minuto,prego oravare dumnuto
"Certo volentieri, io lo prendero macchiato",certo oerierio io prendero macchiato
Salve quanto costa quell articolo,ecvue un a un articolo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Piacere Luigi come stai,piacere luigi come stai
Le auguro una buona giornata,le auguro una buona certo
Quanto costa il biglietto,quanto costa il biglietto
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare lo qualche minuto
Buonasera io sono Mario,buonasera io sono mario
Perfetto vorrei comprarne due.,perfetoeriorei comprarne un
Tutto bene tu,tutto bene tu
