Truth,Decoded
Piacere Luigi come stai,piacere si come stai
Quanto costa il biglietto,prego
Buonasera io sono Mario,buanoe ora io sono mario
Tutto bene tu,prego e io
E in offerta costa dieci euro,e pero
Va bene grazie lo stesso,tra grazie io
Dovrebbe arrivare tra qualche minuto,prego voravare due minuto
Prendiamo un caffe al bar,prendiamo urncafe al bar
Si grazie e arrivederci,pgreazci
Le auguro una buona giornata,tra non a non a brata
Salve quanto costa quell articolo,a tra ganvo e lo
Tutto bene grazie,prego lo grazie
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene tu,tutto bene tu
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
