Truth,Decoded
Va bene grazie lo stesso,vabenbe grazie lo sono
Si grazie e arrivederci,si ora oaie e arriva vueceuo
Certo ecco a lei vuole un sacchetto,certo lo lei lo le un samchrato
A che ora arriva il pullman,a che ora arriva il pullman
Tutto bene grazie,tutobone grazie
Prego,prego
Prendiamo un caffe al bar,prendiamo uncafe al bar
Buongiorno io sono Mario,buongiorno io sono mario
E in offerta costa dieci euro,e in offerta costa dieci pero
Le auguro una buona giornata,le auguro una buona giornata
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene grazie lo sono
Si grazie e arrivederci,bene grazie
Salve quanto costa quell articolo,salve quanto coscuel articolo
A che ora arriva il pullman,a che ora arriva il pullman
Certo ecco a lei vuole un sacchetto,certo e lo a lei vuole sacchetto
