Truth,Decoded
Buongiorno io sono Mario,buongiorno io sono mario
Prego,prego
Le auguro una buona giornata,le auguro una buona giornata
Buonasera io sono Mario,buonaornao lo lo mario
Quanto costa il biglietto,ptueo lo il biglietto
E in offerta costa dieci euro,e in oferacoi lei euro
"Certo volentieri, io lo prendero macchiato",certo lei lo prendero macchiato
Perfetto vorrei comprarne due.,perfetorei comprarne due
Si grazie e arrivederci,ruonoe lo vleiro
Tutto bene grazie,tutto bene io
Certo ecco a lei vuole un sacchetto,e lo costa e vuole un auguro
Prendiamo un caffe al bar,prendiamo un caffe al a
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero costa chiedere al autista
Salve quanto costa quell articolo,certo aomaio
Tutto bene tu,tutto bene tu
Buongiorno io sono Mario,buongiorno io sono mario
