Truth,Decoded
Buongiorno io sono Mario,lo lo
Prego,euro lo
Le auguro una buona giornata,lo lo lo lo lo
Buonasera io sono Mario,lo lo lo lo
Quanto costa il biglietto,lo lo lo lo lo
E in offerta costa dieci euro,e lo lo io io lo
"Certo volentieri, io lo prendero macchiato",lo lo lo ora
Perfetto vorrei comprarne due.,e lo lo lo lo
Si grazie e arrivederci,e un lo lo io
Tutto bene grazie,roato
Certo ecco a lei vuole un sacchetto,lo lo lo lo lo lo
Prendiamo un caffe al bar,bene lo lo io e prego
Purtroppo non lo so pero potresti chiedere all autista,lo un un lo lo lo lo mario
Salve quanto costa quell articolo,lo a lo lo lo ietio
Tutto bene tu,lo lo lo
Buongiorno io sono Mario,lo lo lo lo
