Truth,Decoded
Piacere Luigi come stai,piacere io io e stai
Quanto costa il biglietto,purenlsta
Buonasera io sono Mario,bene a io io mario
Tutto bene tu,prego certo
E in offerta costa dieci euro,prego
Va bene grazie lo stesso,e e viri
Dovrebbe arrivare tra qualche minuto,e reado lo bene dumuto
Prendiamo un caffe al bar,prendiamo uncafe bar
Si grazie e arrivederci,pgreazi
Le auguro una buona giornata,prego io a tra
Salve quanto costa quell articolo,a greauanvoe euro
Tutto bene grazie,quanto io
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Buongiorno io sono Mario,buongiorno io sono mario
Tutto bene tu,tutto bene tu
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
