Truth,Decoded
Buongiorno io sono Mario,buongiorno io sono mario
Prego,prego
Le auguro una buona giornata,le auguro una buona giornata
Buonasera io sono Mario,buonasera lo so so mario
Quanto costa il biglietto,ptueonco so il biglietto
E in offerta costa dieci euro,e in ofertacosi lei euro
"Certo volentieri, io lo prendero macchiato",certo toleterio io lo prendero macchiato
Perfetto vorrei comprarne due.,perfetorei comprarne due
Si grazie e arrivederci,un e va vleicltito
Tutto bene grazie,tutto bene io
Certo ecco a lei vuole un sacchetto,certo ora lei vuole un auguro
Prendiamo un caffe al bar,prendiamo un caffe al bar
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero postoi shiere al autista
Salve quanto costa quell articolo,certo e aoicnoamahito
Tutto bene tu,tutto bene tu
Buongiorno io sono Mario,buonirn io sono mario
