Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa quell articolo
Piacere Luigi come stai,piacere luigi come stai
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",preavoidlata
Piacere Luigi come stai,piacere lo stai
Quanto costa il biglietto,e liltsta
Le auguro una buona giornata,prego mario a giornata
A che ora arriva il pullman,a che a viail lo
Si grazie e arrivederci,preazci
Va bene grazie lo stesso,a a certo
Prego,prego
Prendiamo un caffe al bar,prendiamo un a al bar
Tutto bene tu,peretie io
Salve quanto costa quell articolo,a greagaluo
Perfetto vorrei comprarne due.,a a voarordriadrelto
Tutto bene grazie,pero tu
