Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Si grazie e arrivederci,si tra zosie e ariveveri
Certo ecco a lei vuole un sacchetto,certo ecco a lei lo le un mcheto
A che ora arriva il pullman,a che ora arriva il pullman
Tutto bene grazie,tutto bene grazie
Prego,prego
Prendiamo un caffe al bar,prenoao unaflal bar
Buongiorno io sono Mario,buongiorno io sono mario
E in offerta costa dieci euro,e in offerta costa dieci euro
Le auguro una buona giornata,le auguro una buona giornata
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene grazie lo stesso
Si grazie e arrivederci,in arivedero
Salve quanto costa quell articolo,salve quanto cotaul articolo
A che ora arriva il pullman,a che ora arriva il pullman
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
