Truth,Decoded
Salve quanto costa quell articolo,a due quantocosta quell articolo
Piacere Luigi come stai,piacere luigi come stai
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",prevoide certo
Piacere Luigi come stai,piacere io stai
Quanto costa il biglietto,a bene io le io lo
Le auguro una buona giornata,prendero lo lo lo a guorto
A che ora arriva il pullman,a a ora va lo lo
Si grazie e arrivederci,sgreazi
Va bene grazie lo stesso,a reaza vieieno
Prego,prego
Prendiamo un caffe al bar,prendiamo un caffe lo bar
Tutto bene tu,preoieie lei
Salve quanto costa quell articolo,a greagave euro
Perfetto vorrei comprarne due.,a a sono costa diearedelta
Tutto bene grazie,tutto giziti
