Truth,Decoded
Buongiorno io sono Mario,buongiorno lo sono mario
Tutto bene grazie,tutto bene grazie
Buonasera io sono Mario,buonasera io sono mario
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a che ora arriva il pullman
Va bene grazie lo stesso,va bene grazie lo stesso
Si grazie e arrivederci,va gbre grazezesesci
Quanto costa il biglietto,tutto costa io lo
Prego,prego
Le auguro una buona giornata,le auguro una buona giornata
Perfetto vorrei comprarne due.,perfetto lo vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un suvcechto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo so pero potresti chiedere alauista
Prendiamo un caffe al bar,prendiamo un che al bar
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
