Truth,Decoded
Salve quanto costa quell articolo,salve un lo tu il atocoto
Piacere Luigi come stai,piacere io come stai
E in offerta costa dieci euro,e io ofertacta due lo
"Certo volentieri, io lo prendero macchiato",preiadluisa
Piacere Luigi come stai,pireimetai
Quanto costa il biglietto,pero io e lo
Le auguro una buona giornata,preuopu a a a
A che ora arriva il pullman,prfenriaio a
Si grazie e arrivederci,pero ziui
Va bene grazie lo stesso,prego griei
Prego,prego
Prendiamo un caffe al bar,perenda lo al lo
Tutto bene tu,prfeoio e tu
Salve quanto costa quell articolo,srengareicua
Perfetto vorrei comprarne due.,un ora due costa
Tutto bene grazie,ptetoe e
