Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,certo lo io e io
Tutto bene tu,tu e io
Quanto costa il biglietto,tu e io
Buongiorno io sono Mario,tutto e io
Si grazie e arrivederci,certo io a quell io
Perfetto vorrei comprarne due.,tutto lo a un io
Prego,pero io
Dovrebbe arrivare tra qualche minuto,tu io e io
Le auguro una buona giornata,e io a un io
Buonasera io sono Mario,e e io a un io
Tutto bene grazie,tu io io io
E in offerta costa dieci euro,tu io io e io
"Certo volentieri, io lo prendero macchiato",certo io io io io io io
Salve quanto costa quell articolo,certo io a due io
Va bene grazie lo stesso,tu e e io
Piacere Luigi come stai,tu a io e io
