Truth,Decoded
Tutto bene tu,tu io
Salve quanto costa quell articolo,bene io io e io
Certo ecco a lei vuole un sacchetto,certo io io vuole io
Prendiamo un caffe al bar,cereri io due io
Purtroppo non lo so pero potresti chiedere all autista,purtpo io io io bene ecco
Dovrebbe arrivare tra qualche minuto,tu e e io
Va bene grazie lo stesso,a a io e io
"Certo volentieri, io lo prendero macchiato",e tra si due io
E in offerta costa dieci euro,cereri io due io
Le auguro una buona giornata,a io io e io
Perfetto vorrei comprarne due.,e io io so io
Buonasera io sono Mario,e a io e io
A che ora arriva il pullman,tu a io e io
Piacere Luigi come stai,e e io due io
Prendiamo un caffe al bar,tu io io io
Certo ecco a lei vuole un sacchetto,tu io io un io
