Truth,Decoded
Piacere Luigi come stai,tu a io e io
Certo ecco a lei vuole un sacchetto,e a a un io
Buonasera io sono Mario,tu a io un io
Quanto costa il biglietto,tu e io
Dovrebbe arrivare tra qualche minuto,a bar io e io
E in offerta costa dieci euro,e a io e io
Purtroppo non lo so pero potresti chiedere all autista,pero io io un io
Perfetto vorrei comprarne due.,e io e io
Prego,prtbeo
Tutto bene grazie,tu io e io
Tutto bene tu,prtbeo
Salve quanto costa quell articolo,e pero io e io
Prendiamo un caffe al bar,tu a e io
Si grazie e arrivederci,tu e e io
Buongiorno io sono Mario,tu io io e io
A che ora arriva il pullman,tu un e io
