Truth,Decoded
Le auguro una buona giornata,e io io un io
Prendiamo un caffe al bar,a e a e io
A che ora arriva il pullman,a a io e io
Purtroppo non lo so pero potresti chiedere all autista,certo io io quell io
"Certo volentieri, io lo prendero macchiato",pero io due io
Tutto bene grazie,a e e io
Buongiorno io sono Mario,a io io e io
Certo ecco a lei vuole un sacchetto,e io io un io
Tutto bene tu,tu e e io
Quanto costa il biglietto,tu e e io
A che ora arriva il pullman,tu a io e io
Prego,pero e io
Buongiorno io sono Mario,pero io un io
Piacere Luigi come stai,e e io un io
Tutto bene grazie,e e e io
Si grazie e arrivederci,pero a un io
