Truth,Decoded
Tutto bene grazie,pero e lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Quanto costa il biglietto,tutto e lo
Certo ecco a lei vuole un sacchetto,pero e lo
Prendiamo un caffe al bar,pero e lo
Le auguro una buona giornata,pero e lo
Salve quanto costa quell articolo,pero lo e lo
Buongiorno io sono Mario,pero e lo
Va bene grazie lo stesso,pero e lo
E in offerta costa dieci euro,pero e lo
"Certo volentieri, io lo prendero macchiato",pero lo lo e lo
Si grazie e arrivederci,pero lo lo e lo
Buongiorno io sono Mario,pero e lo
Perfetto vorrei comprarne due.,pero lo e lo
Prego,pero lo lo e lo
Certo ecco a lei vuole un sacchetto,pero lo e lo
