Truth,Decoded
Le auguro una buona giornata,e io io e io
Prendiamo un caffe al bar,a a io e io
A che ora arriva il pullman,a a io e io
Purtroppo non lo so pero potresti chiedere all autista,certo io lo io io vuole lacto
"Certo volentieri, io lo prendero macchiato",pero io bene io
Tutto bene grazie,tu io e io
Buongiorno io sono Mario,a io io e io
Certo ecco a lei vuole un sacchetto,e a io due io
Tutto bene tu,tu io io e io
Quanto costa il biglietto,tu e io e io
A che ora arriva il pullman,tu a io e io
Prego,tu io
Buongiorno io sono Mario,pero io e io
Piacere Luigi come stai,e pero io e io
Tutto bene grazie,e e a e io
Si grazie e arrivederci,certo a due io
