Truth,Decoded
Le auguro una buona giornata,un e io
"Certo volentieri, io lo prendero macchiato",tu e a un io
Va bene grazie lo stesso,tu un e io
Salve quanto costa quell articolo,pero io a un ecco
"Certo volentieri, io lo prendero macchiato",pero io un io
Piacere Luigi come stai,pero io io e io
Buonasera io sono Mario,pero io bene io
Le auguro una buona giornata,pero io a un io
Si grazie e arrivederci,pero io e io
Certo ecco a lei vuole un sacchetto,pero a un io
Dovrebbe arrivare tra qualche minuto,pero io un io
Perfetto vorrei comprarne due.,pero io e io
Prendiamo un caffe al bar,pero io un io
Purtroppo non lo so pero potresti chiedere all autista,certo io a un io
Va bene grazie lo stesso,pero io e io
Prego,certo io io e io
