Truth,Decoded
Le auguro una buona giornata,certo io io un io
Prendiamo un caffe al bar,e io io due io
A che ora arriva il pullman,e e io io due io
Purtroppo non lo so pero potresti chiedere all autista,certo io io tu cuede ecco
"Certo volentieri, io lo prendero macchiato",certo io io tu cuede lo
Tutto bene grazie,e io io bene io
Buongiorno io sono Mario,cereoeo io io cuede ecco
Certo ecco a lei vuole un sacchetto,bene io io io cuede io
Tutto bene tu,e io io bene io
Quanto costa il biglietto,certo io bene io
A che ora arriva il pullman,tu a io e io
Prego,prego
Buongiorno io sono Mario,certo io e io
Piacere Luigi come stai,e io io e io
Tutto bene grazie,e a e io
Si grazie e arrivederci,certo io io vuole io
