Truth,Decoded
Piacere Luigi come stai,e pero io io io
Certo ecco a lei vuole un sacchetto,e a a due io
Buonasera io sono Mario,e a a un io
Quanto costa il biglietto,tu e io
Dovrebbe arrivare tra qualche minuto,tu a io io
E in offerta costa dieci euro,e e io e io
Purtroppo non lo so pero potresti chiedere all autista,pero io due io
Perfetto vorrei comprarne due.,e io io io io
Prego,pero
Tutto bene grazie,tu a bene io
Tutto bene tu,tu bene
Salve quanto costa quell articolo,e e io e io
Prendiamo un caffe al bar,tu a e io
Si grazie e arrivederci,tu a io io
Buongiorno io sono Mario,tu a io bene io
A che ora arriva il pullman,una bene io
