Truth,Decoded
A che ora arriva il pullman,e mario io e io
Tutto bene tu,certo costa due io
E in offerta costa dieci euro,certo costa due io
Buongiorno io sono Mario,e a io e io
Quanto costa il biglietto,e a io io
Tutto bene grazie,certo io io bene ecco
Quanto costa il biglietto,e e io io
Si grazie e arrivederci,e io a due io
Va bene grazie lo stesso,a a io io io
Perfetto vorrei comprarne due.,e io a due io
E in offerta costa dieci euro,e a io e io
Buonasera io sono Mario,e e io e io
Dovrebbe arrivare tra qualche minuto,e a io un io
Salve quanto costa quell articolo,e io io e io
Prego,e io io e io
Piacere Luigi come stai,e pero io e io
