Truth,Decoded
Le auguro una buona giornata,e mario io due io
Prendiamo un caffe al bar,a a io e io
A che ora arriva il pullman,a tra io un io
Purtroppo non lo so pero potresti chiedere all autista,purtpo un io io tu vuole lacto
"Certo volentieri, io lo prendero macchiato",bene e io tu vuole lo
Tutto bene grazie,a a io e io
Buongiorno io sono Mario,a a io che io
Certo ecco a lei vuole un sacchetto,e e e io quell io
Tutto bene tu,tu a io io io
Quanto costa il biglietto,e a io e ecco
A che ora arriva il pullman,tu a io e io
Prego,tutto
Buongiorno io sono Mario,sereri io due io
Piacere Luigi come stai,e a a due io
Tutto bene grazie,e a e io
Si grazie e arrivederci,certo io tu vuole lacto
