Truth,Decoded
Quanto costa il biglietto,pero e lo
Le auguro una buona giornata,pero e lo
A che ora arriva il pullman,pero e lo
Piacere Luigi come stai,pero e lo
Prego,pero e lo
Certo ecco a lei vuole un sacchetto,pero e lo
Buongiorno io sono Mario,pero e lo
Si grazie e arrivederci,pero e lo
"Certo volentieri, io lo prendero macchiato",certo lo e lo
Buonasera io sono Mario,pero e lo
Perfetto vorrei comprarne due.,pero e lo
Purtroppo non lo so pero potresti chiedere all autista,pero ora lo e lo
Salve quanto costa quell articolo,pero lo lo e lo
Tutto bene tu,pero e lo
Prego,tutto e lo
Piacere Luigi come stai,pero e lo
