Truth,Decoded
Le auguro una buona giornata,tu e e io
"Certo volentieri, io lo prendero macchiato",e bar a e io
Va bene grazie lo stesso,tu bar e io
Salve quanto costa quell articolo,purtpo io io io io bene ecco
"Certo volentieri, io lo prendero macchiato",certo io a e io
Piacere Luigi come stai,certo io e io
Buonasera io sono Mario,e io io io io
Le auguro una buona giornata,certo io io io bene io
Si grazie e arrivederci,e io e io
Certo ecco a lei vuole un sacchetto,e e a a due io
Dovrebbe arrivare tra qualche minuto,e e a io due io
Perfetto vorrei comprarne due.,certo io io io
Prendiamo un caffe al bar,certo io due io
Purtroppo non lo so pero potresti chiedere all autista,certo io io io a bene io
Va bene grazie lo stesso,e bar io e io
Prego,tu io e io
