Truth,Decoded
Quanto costa il biglietto,e lo
Buonasera io sono Mario,e lo
A che ora arriva il pullman,e lo
"Certo volentieri, io lo prendero macchiato",lo
Buonasera io sono Mario,lo
Perfetto vorrei comprarne due.,lo
Tutto bene tu,lo
Buongiorno io sono Mario,lo
Tutto bene grazie,lo
Salve quanto costa quell articolo,lo
Si grazie e arrivederci,lo
E in offerta costa dieci euro,lo
Prendiamo un caffe al bar,lo
Dovrebbe arrivare tra qualche minuto,lo
Va bene grazie lo stesso,lo
Purtroppo non lo so pero potresti chiedere all autista,lo
