Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,certo io lo io tu cuede io
Tutto bene tu,tu io io e io
Quanto costa il biglietto,tu un io e io
Buongiorno io sono Mario,tu io io e io
Si grazie e arrivederci,certo io io vuole io
Perfetto vorrei comprarne due.,tutto io io un io
Prego,pero nbeo
Dovrebbe arrivare tra qualche minuto,tu io e io
Le auguro una buona giornata,e a io un io
Buonasera io sono Mario,e e io io due io
Tutto bene grazie,tu io io e io
E in offerta costa dieci euro,tu e io un io
"Certo volentieri, io lo prendero macchiato",certo io io a cuede io
Salve quanto costa quell articolo,certo io io a vuole io
Va bene grazie lo stesso,a e io e io
Piacere Luigi come stai,tu a io e io
