Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,certo io a e io
Tutto bene tu,tutto io io
Quanto costa il biglietto,tu e io
Buongiorno io sono Mario,tutto io e io
Si grazie e arrivederci,certo io io bene io
Perfetto vorrei comprarne due.,tutto io io e io
Prego,pero nbeo
Dovrebbe arrivare tra qualche minuto,tu io e io
Le auguro una buona giornata,e io a un io
Buonasera io sono Mario,pero a un io
Tutto bene grazie,tu io io io io
E in offerta costa dieci euro,tu io io e io
"Certo volentieri, io lo prendero macchiato",certo io io io bene io
Salve quanto costa quell articolo,tutto io io cuede io
Va bene grazie lo stesso,tu un e io
Piacere Luigi come stai,tu io io e io
