Truth,Decoded
Le auguro una buona giornata,e pero io due io
Prendiamo un caffe al bar,a a io e io
A che ora arriva il pullman,barera io e io
Purtroppo non lo so pero potresti chiedere all autista,certo io io tu bene ecco
"Certo volentieri, io lo prendero macchiato",e pero io due io
Tutto bene grazie,bar io e io
Buongiorno io sono Mario,e e io e io
Certo ecco a lei vuole un sacchetto,certo io due io
Tutto bene tu,mario e io
Quanto costa il biglietto,bene io e io
A che ora arriva il pullman,tu io un e io
Prego,pero
Buongiorno io sono Mario,certo io un io
Piacere Luigi come stai,a pero un e io
Tutto bene grazie,e e e io
Si grazie e arrivederci,pero io vuole ecco
