Truth,Decoded
Piacere Luigi come stai,due e io
Certo ecco a lei vuole un sacchetto,due e io
Buonasera io sono Mario,due e io
Quanto costa il biglietto,tra io
Dovrebbe arrivare tra qualche minuto,tu e e io
E in offerta costa dieci euro,due e io
Purtroppo non lo so pero potresti chiedere all autista,pero io un io
Perfetto vorrei comprarne due.,due e io
Prego,turbe io
Tutto bene grazie,due io io
Tutto bene tu,tutto io
Salve quanto costa quell articolo,due e io
Prendiamo un caffe al bar,tu e e io
Si grazie e arrivederci,due e io
Buongiorno io sono Mario,due io io
A che ora arriva il pullman,a e io
