Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,purtpo lo io tu puede io
Tutto bene tu,tutto io e io
Quanto costa il biglietto,tu io io e io
Buongiorno io sono Mario,tu io io io io
Si grazie e arrivederci,certo io io io due io
Perfetto vorrei comprarne due.,certo io io un io
Prego,tutto io
Dovrebbe arrivare tra qualche minuto,tu io e io
Le auguro una buona giornata,e e io costa due io
Buonasera io sono Mario,bene io costa un io
Tutto bene grazie,tu io io io io
E in offerta costa dieci euro,e io io so io
"Certo volentieri, io lo prendero macchiato",certo io io tu cuede io
Salve quanto costa quell articolo,certo io io a due io
Va bene grazie lo stesso,a a io e io
Piacere Luigi come stai,e pero io bene io
