Truth,Decoded
Le auguro una buona giornata,tu e e io
"Certo volentieri, io lo prendero macchiato",e e io e io
Va bene grazie lo stesso,tu e io e io
Salve quanto costa quell articolo,certo io io io due io
"Certo volentieri, io lo prendero macchiato",pero io e io
Piacere Luigi come stai,certo io io e io
Buonasera io sono Mario,pero io e io
Le auguro una buona giornata,certo io io a un io
Si grazie e arrivederci,pero io e io
Certo ecco a lei vuole un sacchetto,e e io un io
Dovrebbe arrivare tra qualche minuto,e e e io
Perfetto vorrei comprarne due.,pero e io
Prendiamo un caffe al bar,pero e io
Purtroppo non lo so pero potresti chiedere all autista,certo io io io due io
Va bene grazie lo stesso,pero e io
Prego,certo io io io e io
