Truth,Decoded
Piacere Luigi come stai,pero io e io
Certo ecco a lei vuole un sacchetto,e e a due io
Buonasera io sono Mario,e a a un io
Quanto costa il biglietto,tu un e io
Dovrebbe arrivare tra qualche minuto,a euro a e io
E in offerta costa dieci euro,certo io due io
Purtroppo non lo so pero potresti chiedere all autista,pero io due io
Perfetto vorrei comprarne due.,e pero io e io
Prego,prtbeo
Tutto bene grazie,tu io un e io
Tutto bene tu,prtbeo
Salve quanto costa quell articolo,e pero un due io
Prendiamo un caffe al bar,tu pero e io
Si grazie e arrivederci,tu io e io
Buongiorno io sono Mario,tu io io e io
A che ora arriva il pullman,tu un un e io
