Truth,Decoded
Le auguro una buona giornata,e a io e io
Prendiamo un caffe al bar,tu a a e io
A che ora arriva il pullman,a a io e io
Purtroppo non lo so pero potresti chiedere all autista,certo io io bene io
"Certo volentieri, io lo prendero macchiato",certo io vuole io
Tutto bene grazie,tu e e io
Buongiorno io sono Mario,a a io e io
Certo ecco a lei vuole un sacchetto,e a io due io
Tutto bene tu,tu e e io
Quanto costa il biglietto,e io e io
A che ora arriva il pullman,tu a io e io
Prego,tu io
Buongiorno io sono Mario,certo io un io
Piacere Luigi come stai,e io io un io
Tutto bene grazie,e a e io
Si grazie e arrivederci,certo io due io
