Truth,Decoded
Quanto costa il biglietto,un io so lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo io lo io lo stai autista
Va bene grazie lo stesso,va bene lo so
Prego,pero
Perfetto vorrei comprarne due.,doveretberlei come e io
Certo ecco a lei vuole un sacchetto,cruoeara io so mario
Si grazie e arrivederci,a bueari io io certo
Le auguro una buona giornata,auguro un io
Buongiorno io sono Mario,ungnono io sono mario
Buonasera io sono Mario,buogri io sono mario
Piacere Luigi come stai,piaeruono io come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,si e io
E in offerta costa dieci euro,pireiea
Tutto bene grazie,preteri
Prendiamo un caffe al bar,certo a
"Certo volentieri, io lo prendero macchiato",pireorea
A che ora arriva il pullman,a quanto mario e
Dovrebbe arrivare tra qualche minuto,pero tareue
Quanto costa il biglietto,e rutoi
Purtroppo non lo so pero potresti chiedere all autista,certo io io un
Va bene grazie lo stesso,pigrete e
Prego,pirei
Perfetto vorrei comprarne due.,prego e bene si
Certo ecco a lei vuole un sacchetto,si gret a a
Si grazie e arrivederci,si ratrei
Le auguro una buona giornata,e quanto e e e
Buongiorno io sono Mario,pero
Buonasera io sono Mario,prego e
Piacere Luigi come stai,e lo dieci
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve feanrta e tutto
