Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,tutto stai bgieto
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,prenri io cilpue
Le auguro una buona giornata,euro una un bar
"Certo volentieri, io lo prendero macchiato",perfetoed e
Tutto bene tu,qutoi lo e
Salve quanto costa quell articolo,salve quanrata io costeuso
Purtroppo non lo so pero potresti chiedere all autista,prego io si un una
Dovrebbe arrivare tra qualche minuto,certo octararle tu minuto
Prego,e
Si grazie e arrivederci,io riredrua
Va bene grazie lo stesso,si grazoearie le stesso
Piacere Luigi come stai,piacere uice stai
E in offerta costa dieci euro,prezoicireue
Buonasera io sono Mario,reorn mario
Quanto costa il biglietto,sgquato io tra
Perfetto vorrei comprarne due.,certo cerorare e
Prendiamo un caffe al bar,prendiamo un che al bar
A che ora arriva il pullman,e a mario lo e
Buongiorno io sono Mario,preoztu
Tutto bene grazie,qutiere
Quanto costa il biglietto,quanto losteri io iheto
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe ariraliao a e minuto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo so pero porstchiedere e autista
