Truth,Decoded
Quanto costa il biglietto,quanto costa io blieto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere e autista
Va bene grazie lo stesso,va bene agrzi lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco euro lei vuole un sacchetto
Si grazie e arrivederci,a bene io bene crtrco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quanfrata io costelo
E in offerta costa dieci euro,a greztio icieue
Tutto bene grazie,tutto iegre e
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",io reored un
A che ora arriva il pullman,e a mario lo e
Dovrebbe arrivare tra qualche minuto,pretoto carire a tu minuto
Quanto costa il biglietto,quanto lo io io
Purtroppo non lo so pero potresti chiedere all autista,preztotoptr io pero puicrl a una
Va bene grazie lo stesso,si grazoearzie e stesso
Prego,prego
Perfetto vorrei comprarne due.,certo cerorare un
Certo ecco a lei vuole un sacchetto,prenoria io si tu e
Si grazie e arrivederci,si lo iredurerua
Le auguro una buona giornata,prendero lo una cutne a bar
Buongiorno io sono Mario,prego tu
Buonasera io sono Mario,areorn mario
Piacere Luigi come stai,piacere uiecoe stai
Tutto bene tu,iutei come un
Salve quanto costa quell articolo,salve quanto costa quell articolo
