Truth,Decoded
Quanto costa il biglietto,quanto costa io io lieto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere e autista
Va bene grazie lo stesso,va bene grazie stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco lei lei vuole un sacchetto
Si grazie e arrivederci,va grazie io io crico
Le auguro una buona giornata,le auguro una una giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonsrna io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,salve quanoruaota a io stiulo
E in offerta costa dieci euro,prezoecirua
Tutto bene grazie,quztne gerazta
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",salve quanocronedl a
A che ora arriva il pullman,e io ora sono a
Dovrebbe arrivare tra qualche minuto,dovreto barirne un tu minuto
Quanto costa il biglietto,quanto costa a
Purtroppo non lo so pero potresti chiedere all autista,pertoporo io lo pero prstiteder al autista
Va bene grazie lo stesso,va bezearzie leuel si
Prego,prego
Perfetto vorrei comprarne due.,certo cerosradrne a
Certo ecco a lei vuole un sacchetto,e retno ora io io pusua
Si grazie e arrivederci,si grazie duorua
Le auguro una buona giornata,le quanto un un a a
Buongiorno io sono Mario,preoztu
Buonasera io sono Mario,bene a sono mario
Piacere Luigi come stai,piacere uiecoe stai
Tutto bene tu,tutto sono ora
Salve quanto costa quell articolo,salve quanto costa quell articolo
