Truth,Decoded
Si grazie e arrivederci,io e e
Le auguro una buona giornata,auruoa io a
Buongiorno io sono Mario,lo un a io sono io
Buonasera io sono Mario,una a io soerio
Piacere Luigi come stai,piacere lo a
Tutto bene tu,tutto e lo
Salve quanto costa quell articolo,a e tra a lo
E in offerta costa dieci euro,un ora un io
Tutto bene grazie,io bene io
Prendiamo un caffe al bar,peruna un a e
"Certo volentieri, io lo prendero macchiato",prtoeari io e ariato
A che ora arriva il pullman,a lo a io lo
Dovrebbe arrivare tra qualche minuto,un a a tutto
Quanto costa il biglietto,tutto lo e lo
Purtroppo non lo so pero potresti chiedere all autista,prutopo lo lo so lo a e una
Va bene grazie lo stesso,prego a so
Prego,lo
Perfetto vorrei comprarne due.,certo bene e a le
Certo ecco a lei vuole un sacchetto,pero a a a lo e certo
Si grazie e arrivederci,tu e e so
Le auguro una buona giornata,lo io a
Buongiorno io sono Mario,tutnono io sono io
Buonasera io sono Mario,buongri io sono
Piacere Luigi come stai,piacere io lo costa
Tutto bene tu,tu mario
Salve quanto costa quell articolo,bene lo certo
E in offerta costa dieci euro,un lo
Tutto bene grazie,tutto e io
Prendiamo un caffe al bar,bene lo lo io
"Certo volentieri, io lo prendero macchiato",prego lo si si ora oriato
A che ora arriva il pullman,lo io lo lo
Dovrebbe arrivare tra qualche minuto,prunbe a a lo
