Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,quanto costa il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,e retrtr si e
Le auguro una buona giornata,le quanto una un una
"Certo volentieri, io lo prendero macchiato",si greoed e
Tutto bene tu,e reotiecrue
Salve quanto costa quell articolo,salve quangrtia costeuso
Purtroppo non lo so pero potresti chiedere all autista,si certo io io che uiucoi a costa
Dovrebbe arrivare tra qualche minuto,drfeaotcafrirne e quanto
Prego,prego
Si grazie e arrivederci,si riredurua
Va bene grazie lo stesso,va berzie e euro
Piacere Luigi come stai,piacere ora stai lo stai
E in offerta costa dieci euro,preiue
Buonasera io sono Mario,e io mario
Quanto costa il biglietto,gquati io a
Perfetto vorrei comprarne due.,e certo che e
Prendiamo un caffe al bar,prendero un caffe al bar
A che ora arriva il pullman,va reoarva io e
Buongiorno io sono Mario,prego
Tutto bene grazie,qetiue
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,perfetto lei comprarne e
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe grazie io quanto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero porstachiedere io autista
