Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,tutto bosteail e io
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,prego tra io io tu io
Le auguro una buona giornata,aungo una cutne a
"Certo volentieri, io lo prendero macchiato",e qunoioed a
Tutto bene tu,tutto teazte
Salve quanto costa quell articolo,salve quanrata io lo stesso
Purtroppo non lo so pero potresti chiedere all autista,certo ora io io puritce a una
Dovrebbe arrivare tra qualche minuto,doreto lo carire a tu minuto
Prego,prego
Si grazie e arrivederci,si grazie e e
Va bene grazie lo stesso,e bene grazie lo stesso
Piacere Luigi come stai,piacere luigi che stai
E in offerta costa dieci euro,prezioieuo
Buonasera io sono Mario,buona mario
Quanto costa il biglietto,quanto io a
Perfetto vorrei comprarne due.,certo cerirare e
Prendiamo un caffe al bar,prendiamo un caffe al bar
A che ora arriva il pullman,e mario io e
Buongiorno io sono Mario,prego tu
Tutto bene grazie,tutto oiate
Quanto costa il biglietto,quanto lo stai imheto
Perfetto vorrei comprarne due.,prego lei comprarne due
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe ariaiae a e minuto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero poest chiedere all lo autista
