Truth,Decoded
Tutto bene grazie,tutto bene grazie
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Prego,prego
Buonasera io sono Mario,buonasera io sono mario
Quanto costa il biglietto,quanto costa e io
E in offerta costa dieci euro,e in offerta costa dieci euro
Certo ecco a lei vuole un sacchetto,e renrtra io culpu e
Le auguro una buona giornata,le auguro una bene una
"Certo volentieri, io lo prendero macchiato",e gquanoedl due
Tutto bene tu,quti io e
Salve quanto costa quell articolo,salve quanrata io casteso
Purtroppo non lo so pero potresti chiedere all autista,pereztor io io purce a una
Dovrebbe arrivare tra qualche minuto,doretrocare tu tu minuto
Prego,prego
Si grazie e arrivederci,si rairerua
Va bene grazie lo stesso,si grazoerie e stesso
Piacere Luigi come stai,piacere dieci stai
E in offerta costa dieci euro,e grazie icireuo
Buonasera io sono Mario,buona mario
Quanto costa il biglietto,e quanto io tra
Perfetto vorrei comprarne due.,certo cerare due
Prendiamo un caffe al bar,prendiamo un caffe al bar
A che ora arriva il pullman,preoariva io e
Buongiorno io sono Mario,preoztu
Tutto bene grazie,un irerete
Quanto costa il biglietto,quanto costa il biglietto
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Tutto bene tu,tutto bene tu
Dovrebbe arrivare tra qualche minuto,dovrebbe arirerire a e minuto
Piacere Luigi come stai,piacere luigi come stai
Buongiorno io sono Mario,buongiorno io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero porestichiedere e autista
