Truth,Decoded
Quanto costa il biglietto,lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo lo e lo
Va bene grazie lo stesso,bene io
Prego,tutto
Perfetto vorrei comprarne due.,e e lo lo lo
Certo ecco a lei vuole un sacchetto,lo lo io io e mario
Si grazie e arrivederci,due so
Le auguro una buona giornata,euro io
Buongiorno io sono Mario,lo lo lo mario
Buonasera io sono Mario,lo lo lo mario
Piacere Luigi come stai,certo lo lo certo
Tutto bene tu,lo sono
Salve quanto costa quell articolo,e e io
E in offerta costa dieci euro,pero io
Tutto bene grazie,prutoe io
Prendiamo un caffe al bar,pero lo
"Certo volentieri, io lo prendero macchiato",a ruoeuo
A che ora arriva il pullman,pero lo io a
Dovrebbe arrivare tra qualche minuto,pero e io lo
Quanto costa il biglietto,a tutto io
Purtroppo non lo so pero potresti chiedere all autista,pero lo certo
Va bene grazie lo stesso,pero e
Prego,pero
Perfetto vorrei comprarne due.,pero lo io e e cutsi
Certo ecco a lei vuole un sacchetto,e e io
Si grazie e arrivederci,piretoeto
Le auguro una buona giornata,pero a io
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,lei un lo
Piacere Luigi come stai,pero io lo
Tutto bene tu,pero lo io
Salve quanto costa quell articolo,due e a a a io
