Truth,Decoded
Quanto costa il biglietto,io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io io
Va bene grazie lo stesso,io io
Prego,e io
Perfetto vorrei comprarne due.,io io lo
Certo ecco a lei vuole un sacchetto,io io lo
Si grazie e arrivederci,io io
Le auguro una buona giornata,euro io
Buongiorno io sono Mario,certo io io io
Buonasera io sono Mario,io io io io
Piacere Luigi come stai,io io
Tutto bene tu,io io
Salve quanto costa quell articolo,e io
E in offerta costa dieci euro,io io
Tutto bene grazie,io io
Prendiamo un caffe al bar,prego io
"Certo volentieri, io lo prendero macchiato",io io
A che ora arriva il pullman,prego io
Dovrebbe arrivare tra qualche minuto,euro io
Quanto costa il biglietto,euro io
Purtroppo non lo so pero potresti chiedere all autista,io io
Va bene grazie lo stesso,certo io
Prego,e io
Perfetto vorrei comprarne due.,io io
Certo ecco a lei vuole un sacchetto,io io
Si grazie e arrivederci,io io
Le auguro una buona giornata,io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,io io
Tutto bene tu,io io
Salve quanto costa quell articolo,a ora io
