Truth,Decoded
Salve quanto costa quell articolo,a e tra lo
E in offerta costa dieci euro,e bene a a io
Tutto bene grazie,tutto bene
Prendiamo un caffe al bar,pero a a lo
"Certo volentieri, io lo prendero macchiato",certo e e si pero mario
A che ora arriva il pullman,tu si a lo
Dovrebbe arrivare tra qualche minuto,dovrebbe a a lo lo
Quanto costa il biglietto,pero e lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo pero lo pero lo a bene autista
Va bene grazie lo stesso,viave e a so
Prego,prego
Perfetto vorrei comprarne due.,certo e lo lo un
Certo ecco a lei vuole un sacchetto,certo lo due e lo
Si grazie e arrivederci,e e lo
Le auguro una buona giornata,a a un a a a
Buongiorno io sono Mario,sono ora io sono io
Buonasera io sono Mario,eruorarai sono lo
Piacere Luigi come stai,pero lo io stai
Tutto bene tu,prego bene
Salve quanto costa quell articolo,pero bar lo ueaeo
E in offerta costa dieci euro,e a ora un un io
Tutto bene grazie,lo bene io
Prendiamo un caffe al bar,prego lo a
"Certo volentieri, io lo prendero macchiato",pero io lo e rtato
A che ora arriva il pullman,a reori un lo
Dovrebbe arrivare tra qualche minuto,perebrir a a lo
Quanto costa il biglietto,prego lo e lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo io lo coererhr htato
Va bene grazie lo stesso,va e a io
Prego,prego
Perfetto vorrei comprarne due.,piereoero sono
Certo ecco a lei vuole un sacchetto,pero a e lo
