Truth,Decoded
Prendiamo un caffe al bar,predia un caffe al bar
Salve quanto costa quell articolo,salve quanto grita si stesso
E in offerta costa dieci euro,e grazie iciuo
"Certo volentieri, io lo prendero macchiato",si greied e
Dovrebbe arrivare tra qualche minuto,doereoio carire io minuto
Prego,prego
Tutto bene grazie,reoti
A che ora arriva il pullman,e io mario io e
Buongiorno io sono Mario,pireoto
Perfetto vorrei comprarne due.,prego iaie a
Si grazie e arrivederci,si grairedrerua
Le auguro una buona giornata,le euro una un a
Certo ecco a lei vuole un sacchetto,e greneria io si e
Va bene grazie lo stesso,si grazie a prego
Buonasera io sono Mario,buraiaion mario
Quanto costa il biglietto,si gruato io io a
Tutto bene tu,buti come
Purtroppo non lo so pero potresti chiedere all autista,si grezoioir io io io io autista
Piacere Luigi come stai,piacere dieci stai
Tutto bene tu,tutto bene tu
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole unacheto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so so pero coeticedea autista
Quanto costa il biglietto,tutto costa il bieto
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacere luigi come stai
Tutto bene grazie,tutto bene grazie
Prego,prego
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Si grazie e arrivederci,si grazie e iverci
Prendiamo un caffe al bar,prendiamo un caffe al bar
Salve quanto costa quell articolo,salve quanto costa quell articolo
