Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere il autista
Va bene grazie lo stesso,va e grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne e
Certo ecco a lei vuole un sacchetto,certo costa ora lo vuole e smacheto
Si grazie e arrivederci,e bene io e io deteco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonsernao io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quanto grarta io a stesso
E in offerta costa dieci euro,e e due
Tutto bene grazie,pretogerate
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pieretiodede e
A che ora arriva il pullman,pero ora arriva io le
Dovrebbe arrivare tra qualche minuto,prego carire tu tu minuto
Quanto costa il biglietto,si gruato io io tra
Purtroppo non lo so pero potresti chiedere all autista,piertrioir io io icdr a autista
Va bene grazie lo stesso,si grazie e drcsi
Prego,pero
Perfetto vorrei comprarne due.,certo io radrive due
Certo ecco a lei vuole un sacchetto,perenria io il il a
Si grazie e arrivederci,si grazie drerua
Le auguro una buona giornata,prego una cutne al a
Buongiorno io sono Mario,pretoto
Buonasera io sono Mario,preorara un bar
Piacere Luigi come stai,piacere uivnc si
Tutto bene tu,tutto lo a
Salve quanto costa quell articolo,salve quanto costa quell articolo
