Truth,Decoded
Quanto costa il biglietto,quanto costa io ilieto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere e autista
Va bene grazie lo stesso,va e grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ora lo lo vuole un sacchetto
Si grazie e arrivederci,a bene io bene ecco
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonsernao io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,a quangrata io costelo
E in offerta costa dieci euro,prego bene
Tutto bene grazie,tutto egrate
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",si reored un
A che ora arriva il pullman,e a tra lo e
Dovrebbe arrivare tra qualche minuto,dretoto carire il tu minuto
Quanto costa il biglietto,quanto io a
Purtroppo non lo so pero potresti chiedere all autista,prtztoioire io io io un il a una
Va bene grazie lo stesso,si grazie mario e stesso
Prego,prego
Perfetto vorrei comprarne due.,certo cerearire un
Certo ecco a lei vuole un sacchetto,preria io si tu e
Si grazie e arrivederci,si rairedrerua
Le auguro una buona giornata,prego lo una cutne a bar
Buongiorno io sono Mario,prego tu
Buonasera io sono Mario,e un bar
Piacere Luigi come stai,piacere dieci stai
Tutto bene tu,buti come
Salve quanto costa quell articolo,salve quanto costa quell articolo
