Truth,Decoded
Prego,pero
Dovrebbe arrivare tra qualche minuto,dovrebbe bararne tra tu minuto
Tutto bene tu,prego e
Perfetto vorrei comprarne due.,certo vemradravae due
Buongiorno io sono Mario,preztu
Piacere Luigi come stai,piacere lo un che stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potrestichiedere al autista
Tutto bene tu,tutto bene tu
E in offerta costa dieci euro,e in ora costa dieci euro
Perfetto vorrei comprarne due.,perfetto lei comprarne due
Certo ecco a lei vuole un sacchetto,certo ora pero io vuole un sastato
Piacere Luigi come stai,piacereluigi come stai
Prego,prego
Buonasera io sono Mario,buonrnao io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
Quanto costa il biglietto,quanto io stai il biglietto
Dovrebbe arrivare tra qualche minuto,dovrebbe araietra a le minuto
Salve quanto costa quell articolo,tra io come il iahto
"Certo volentieri, io lo prendero macchiato",pertontieri lo lo prendero machiai
Prendiamo un caffe al bar,prendero un caffe lo bar
Buongiorno io sono Mario,buongiorno io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Si grazie e arrivederci,si grazie io arivedeserci
Tutto bene grazie,tutto e grazie
Le auguro una buona giornata,le auguro una buona giornata
Piacere Luigi come stai,piacere luigi come stai
A che ora arriva il pullman,a che ora arriva il pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Si grazie e arrivederci,si grazie e aivestecso
Dovrebbe arrivare tra qualche minuto,dovrebearivare tra qualche minuto
Tutto bene tu,tutto bene tu
Buonasera io sono Mario,buonasera io sono mario
