Truth,Decoded
Quanto costa il biglietto,quanto costa il io
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io pero postede il autista
Va bene grazie lo stesso,va bene si lo stesso
Prego,prego
Perfetto vorrei comprarne due.,dvfebonrei comprarne un
Certo ecco a lei vuole un sacchetto,ceretoaero io sono umahto
Si grazie e arrivederci,a bunearia a io cotrco
Le auguro una buona giornata,le quaurona una giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buona io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,salve un io tu e so
E in offerta costa dieci euro,e greia
Tutto bene grazie,prego
Prendiamo un caffe al bar,prenian un che bar
"Certo volentieri, io lo prendero macchiato",si gferdrd un
A che ora arriva il pullman,e a arriva lo le
Dovrebbe arrivare tra qualche minuto,e certo ctarae tu minuto
Quanto costa il biglietto,gruato io io
Purtroppo non lo so pero potresti chiedere all autista,pretorio io io una
Va bene grazie lo stesso,si grazie a si
Prego,pirei
Perfetto vorrei comprarne due.,certo riade a
Certo ecco a lei vuole un sacchetto,e grenri lo tu a
Si grazie e arrivederci,si grazie drerua
Le auguro una buona giornata,quanto un un a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,un a
Piacere Luigi come stai,piacere io tu
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve quanto costa un tiolo
