Truth,Decoded
Quanto costa il biglietto,bungo io so lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo io come stai autista
Va bene grazie lo stesso,va bene si so
Prego,pero
Perfetto vorrei comprarne due.,pretoerlei come io
Certo ecco a lei vuole un sacchetto,creorari lo so mario
Si grazie e arrivederci,e lei io io certo
Le auguro una buona giornata,le auguro un uiata
Buongiorno io sono Mario,sono io sono mario
Buonasera io sono Mario,buona io sono mario
Piacere Luigi come stai,piaereli io io stai
Tutto bene tu,tutto bene tu
Salve quanto costa quell articolo,si e e lo
E in offerta costa dieci euro,pireia
Tutto bene grazie,pero
Prendiamo un caffe al bar,pero a e
"Certo volentieri, io lo prendero macchiato",pirereua
A che ora arriva il pullman,e e si a
Dovrebbe arrivare tra qualche minuto,pero prego
Quanto costa il biglietto,pruoi
Purtroppo non lo so pero potresti chiedere all autista,pero io io un
Va bene grazie lo stesso,pigrize io
Prego,pirei
Perfetto vorrei comprarne due.,certo irie a
Certo ecco a lei vuole un sacchetto,pigre a a
Si grazie e arrivederci,pirirei
Le auguro una buona giornata,e lo e e a
Buongiorno io sono Mario,pero
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pero si
Tutto bene tu,tutto lo e
Salve quanto costa quell articolo,salve bene ora e uatlso
