Truth,Decoded
Quanto costa il biglietto,lo lo io
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo io
Va bene grazie lo stesso,lo io
Prego,tutto
Perfetto vorrei comprarne due.,pero lo e lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo io
Si grazie e arrivederci,lo e lo
Le auguro una buona giornata,euro io
Buongiorno io sono Mario,lo lo lo io
Buonasera io sono Mario,lo lo lo io
Piacere Luigi come stai,lo lo lo certo
Tutto bene tu,lo lo io
Salve quanto costa quell articolo,pero lo
E in offerta costa dieci euro,pero lo
Tutto bene grazie,tutto lo
Prendiamo un caffe al bar,pero lo
"Certo volentieri, io lo prendero macchiato",pruoeo
A che ora arriva il pullman,pero io
Dovrebbe arrivare tra qualche minuto,pero io
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,pero io
Va bene grazie lo stesso,pero io
Prego,lo
Perfetto vorrei comprarne due.,pero io e lo
Certo ecco a lei vuole un sacchetto,e lo
Si grazie e arrivederci,pero lo
Le auguro una buona giornata,pero lo
Buongiorno io sono Mario,pero lo
Buonasera io sono Mario,pero io
Piacere Luigi come stai,pero lo
Tutto bene tu,pero lo
Salve quanto costa quell articolo,e lo a lo
